Dept,Education,Gender,BasePay
Sales,College,Female,84057.90575766594
Sales,High School,Female,120113.32597457679
Management,College,Female,141058.25868505138
Sales,College,Male,41545.540600101805
Operations,PhD,Female,100640.39136183263
Sales,College,Male,96117.01780247221
Engineering,High School,Female,49970.81440837357
Sales,High School,Male,47502.65445329718
Administration,PhD,Male,133057.4628125786
Operations,Masters,Female,110464.80990246737
Management,College,Male,68542.29832397334
Administration,PhD,Male,83790.28984927456
Sales,Masters,Male,117268.38811561887
Engineering,Masters,Male,106714.21190214947
Engineering,College,Female,87078.02009616715
Operations,College,Female,130351.37261530542
Management,PhD,Male,109118.41197045997
Operations,PhD,Female,54465.29303502624
Operations,High School,Male,90557.00676288588
Sales,Masters,Female,97941.84078846133
Operations,High School,Male,116802.962518183
Operations,Masters,Male,60946.47829211821
Engineering,Masters,Male,83644.40968724643
Operations,PhD,Male,128303.80189744309
Operations,High School,Male,107616.7953874504
Sales,Masters,Male,141027.38576122155
Management,Masters,Female,90858.82889873924
Engineering,Masters,Male,106328.87410791498
Management,College,Male,95668.81609963458
Sales,PhD,Male,120709.09395933966
Operations,Masters,Male,94951.14919508382
Sales,High School,Male,90344.88190219032
Administration,Masters,Male,106120.77867325081
Sales,Masters,Male,125882.32554691382
Operations,High School,Male,117486.03987418696
Management,College,Female,82800.87071313019
Operations,High School,Male,100189.7991173374
Management,High School,Male,108313.22363161559
Management,College,Male,75456.45319433975
Sales,PhD,Male,92562.00014157678
Operations,High School,Female,82404.99145236796
Administration,College,Female,89748.20087396048
Sales,Masters,Female,110146.25121140342
Sales,Masters,Male,128173.80171126257
Engineering,Masters,Female,75510.87257218441
Management,College,Female,66654.38450426848
Administration,High School,Male,135130.5749472715
Operations,Masters,Male,109434.3720759607
Management,High School,Female,109191.49253310011
Engineering,PhD,Female,53555.550364819195
Operations,Masters,Female,94468.43519805439
Sales,Masters,Female,93174.10191994478
Engineering,PhD,Male,100479.38915579511
Operations,High School,Male,120381.88644944422
Sales,College,Female,109847.17069142763
Administration,College,Male,93173.94636712383
Engineering,High School,Male,86001.78723011832
Management,College,Male,97226.92300181117
Engineering,PhD,Female,97548.57307346902
Sales,High School,Female,115966.55563627736
Operations,High School,Male,94713.451228014
Engineering,College,Female,57913.65709878892
Operations,High School,Male,86918.67841441737
Administration,High School,Female,121727.12199862816
Sales,Masters,Female,56164.40912463383
Operations,High School,Male,163228.63078445956
Management,Masters,Male,85456.34757884654
Engineering,College,Female,60729.73909453893
Administration,College,Male,136576.78845030727
Management,High School,Male,127389.07106257684
Operations,PhD,Female,77613.95385486202
Administration,High School,Male,149579.65769915868
Engineering,Masters,Female,61593.56949724297
Sales,College,Male,122500.3952087257
Engineering,PhD,Male,86851.95503286678
Operations,College,Male,125462.64672882562
Operations,Masters,Female,104674.77659200544
Management,College,Female,89214.82743137884
Operations,High School,Female,117338.91697797675
Sales,PhD,Male,99642.61463750368
Engineering,PhD,Female,98008.27065589814
Engineering,PhD,Male,124254.71977495126
Operations,PhD,Female,100214.55938569433
Sales,Masters,Female,76526.52418519105
Administration,PhD,Female,89968.59467732527
Engineering,PhD,Female,124725.62435347366
Engineering,High School,Female,94133.65120210826
Engineering,Masters,Male,116101.89825837547
Management,College,Male,109604.03252719523
Engineering,Masters,Female,57785.86605588401
Operations,PhD,Male,80045.15536648604
Engineering,Masters,Male,101579.36014190203
Sales,PhD,Female,32501.97611621851
Administration,College,Female,42104.19331662078
Engineering,College,Male,97409.60497372666
Operations,PhD,Female,121288.08329972233
Administration,Masters,Female,61019.70830188629
Management,College,Male,80940.45219317812
Sales,PhD,Female,77951.8811176239
Management,High School,Female,97607.89862629582
Management,High School,Male,138948.93761804546
Administration,College,Female,68096.84432461666
Sales,High School,Female,86395.24238211957
Administration,PhD,Male,87419.58976063016
Management,High School,Female,100252.74686084226
Management,Masters,Female,104172.38118812403
Operations,High School,Male,83475.99528730604
Sales,College,Female,79063.11515728103
Engineering,College,Male,118975.72339768632
Engineering,High School,Male,109220.34335465246
Management,High School,Male,129750.16330694885
Management,College,Female,75419.3541955822
Engineering,PhD,Male,106050.97147202578
Management,Masters,Female,71535.20831739271
Management,Masters,Male,104563.40615701869
Administration,College,Female,63681.759335526905
Management,Masters,Female,77980.40355402429
Operations,PhD,Male,153026.99267699514
Sales,Masters,Male,100960.80653758023
Sales,Masters,Female,91630.77261242272
Management,College,Male,147156.83296644833
Operations,High School,Male,136792.6242560585
Engineering,High School,Male,103463.85574683358
Sales,College,Male,86221.3843349113
Administration,High School,Female,131016.1623846212
Management,High School,Female,71778.10034663981
Sales,PhD,Female,52367.6058632809
Management,PhD,Female,111569.34762644488
Management,High School,Male,89681.55505610011
Operations,PhD,Female,152397.96380392523
Engineering,College,Female,60324.79551584406
Sales,High School,Female,107028.05317099355
Sales,High School,Male,147460.6648112614
Management,High School,Male,84468.72756451282
Management,Masters,Male,108099.88068934686
Administration,PhD,Female,87015.43117737547
Engineering,Masters,Male,78816.78726794085
Engineering,PhD,Male,159874.6258267658
Operations,High School,Male,100550.85071923518
Administration,PhD,Female,77094.17138038743
Sales,PhD,Male,143346.04224848756
Administration,Masters,Female,79765.17032942183
Management,High School,Female,83748.42019226418
Operations,High School,Male,116475.91908121009
Management,High School,Male,170363.46204516335
Operations,Masters,Female,125010.15651932225
Management,Masters,Female,125313.79263770353
Administration,College,Male,112442.40284725849
Administration,Masters,Female,116361.36620204941
Operations,High School,Female,92944.70774127229
Administration,College,Female,107149.15530781077
Management,College,Male,161354.40479580883
Sales,High School,Male,92384.44696089777
Administration,High School,Male,105006.28276344397
Management,PhD,Male,95740.57595023075
Sales,High School,Male,132584.0644429808
Management,PhD,Female,117524.82567050729
Management,PhD,Female,47096.30413248634
Sales,High School,Male,86508.23889219532
Management,High School,Female,75654.11504241094
Sales,High School,Male,109003.96861898819
Engineering,College,Male,100203.97228102123
Sales,Masters,Male,100922.51788882013
Sales,PhD,Male,108192.36046121873
Administration,Masters,Female,108835.76458075597
Engineering,Masters,Male,111683.6474486624
Sales,PhD,Male,112887.27661395287
Sales,College,Female,91275.6574423266
Operations,College,Female,65354.11336874048
Operations,Masters,Female,96136.31251603679
Engineering,High School,Male,70602.16205878266
Sales,High School,Female,106997.51072623493
Management,High School,Male,58234.00518644633
Administration,High School,Male,128154.7910893735
Operations,PhD,Female,116190.82099986555
Operations,High School,Male,99916.76973155183
Engineering,High School,Male,105796.63951688618
Management,College,Female,86097.17176891223
Sales,High School,Female,52720.52474476932
Management,College,Male,127255.0606933386
Management,High School,Male,64916.029070167286
Sales,High School,Female,53795.550399913765
Sales,High School,Female,59096.95910856616
Sales,Masters,Female,103148.22430336496
Administration,PhD,Male,137729.7193347899
Engineering,PhD,Female,98317.24384349
Administration,PhD,Male,68947.8974769701
Operations,Masters,Male,80967.8843361336
Operations,College,Male,96513.18412360291
Operations,Masters,Male,108285.20400802784
Engineering,High School,Male,120245.5325755515
Engineering,PhD,Male,114123.16990646133
Sales,Masters,Female,40710.70448497248
Management,Masters,Male,84454.16195854453
Operations,Masters,Male,77331.55656002623
Sales,PhD,Female,103355.3185407544
Operations,College,Male,58730.94800443389
Sales,PhD,Female,53974.72330816452
Operations,PhD,Male,79644.10410250656
Management,College,Female,66509.35200387382
Administration,High School,Male,69512.49352722056
Operations,PhD,Female,114319.71455094678
Operations,College,Male,115319.10053720517
Operations,High School,Female,86721.07835126894
Management,High School,Male,80837.75117150114
Management,Masters,Male,88644.25720078242
Sales,Masters,Female,111846.54248979592
Administration,College,Female,75324.84861156455
Administration,PhD,Male,103241.14515209018
Operations,PhD,Female,65303.2393962873
Management,High School,Female,71781.9237602963
Administration,High School,Male,90844.52459140823
Administration,High School,Male,107428.92632342508
Engineering,College,Female,63172.829592312635
Administration,PhD,Male,71991.06015062529
Administration,High School,Male,93361.13070218074
Sales,PhD,Male,92110.78715242061
Engineering,College,Male,63604.87336769658
Operations,High School,Female,90986.34167655448
Operations,Masters,Male,112698.64163281833
Management,PhD,Male,99841.61396553455
Sales,PhD,Female,99408.1455718554
Engineering,Masters,Female,96625.26155932888
Management,Masters,Male,129277.93234013172
Management,College,Male,77005.218774435
Engineering,College,Male,116173.90584923846
Administration,High School,Female,44260.46651736922
Administration,Masters,Male,77206.2394351806
Operations,Masters,Female,66668.30767677912
Administration,PhD,Male,117046.16112364054
Management,College,Female,107838.36912258781
Engineering,High School,Male,74832.8187674739
Sales,PhD,Female,87201.21173427545
Management,Masters,Male,112419.59148768993
